,title,description,stars,price,price_discount,reviews,url
72,Minicasa en Lo Barnechea,Tiny House en el estero Arrayán,0.0,59971,,0,https://www.airbnb.cl/rooms/867306963105054865?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-04&check_out=2023-05-09&previous_page_section_name=1000&federated_search_id=d91d4ddc-b1ba-44a4-9575-8311654e4d73
73,Apartamento en Providencia,eldepto ( Departamento Simple),4.72,35320,,966,https://www.airbnb.cl/rooms/37722218?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-08&check_out=2023-05-13&previous_page_section_name=1000&federated_search_id=d91d4ddc-b1ba-44a4-9575-8311654e4d73
74,Apartamento en Estación Central,"Lindo y cómodo departamento, metro las rejas",5.0,30331,,4,https://www.airbnb.cl/rooms/870216912622474201?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-09&previous_page_section_name=1000&federated_search_id=d91d4ddc-b1ba-44a4-9575-8311654e4d73
75,Apartamento en Estación Central,Departamento vista 1608 Cerca Metro,4.94,26667,,16,https://www.airbnb.cl/rooms/723019476126628503?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-08&previous_page_section_name=1000&federated_search_id=d91d4ddc-b1ba-44a4-9575-8311654e4d73
76,Condo en Providencia,Acogedor departamento a pasos de metro 1d 1b,4.81,57232,,177,https://www.airbnb.cl/rooms/53572443?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-08&previous_page_section_name=1000&federated_search_id=d91d4ddc-b1ba-44a4-9575-8311654e4d73
77,Habitación en Santiago,Habitación privada cerca a Palacio la Moneda,4.68,24530,,31,https://www.airbnb.cl/rooms/774681412410816345?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-08&previous_page_section_name=1000&federated_search_id=d91d4ddc-b1ba-44a4-9575-8311654e4d73
78,Domo en Pirque,Domo privado Pirque,4.88,99120,,16,https://www.airbnb.cl/rooms/45634806?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-04&check_out=2023-05-09&previous_page_section_name=1000&federated_search_id=d91d4ddc-b1ba-44a4-9575-8311654e4d73
79,Habitación en Santiago,Gran habitación con sala privada,4.33,16352,,6,https://www.airbnb.cl/rooms/811601009055993501?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-08&previous_page_section_name=1000&federated_search_id=d91d4ddc-b1ba-44a4-9575-8311654e4d73
80,Habitación en Ñuñoa,"Vacaciones especiales ,como en casa",4.83,14016,,52,https://www.airbnb.cl/rooms/32985858?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-04&check_out=2023-05-10&previous_page_section_name=1000&federated_search_id=d91d4ddc-b1ba-44a4-9575-8311654e4d73
81,Habitación en Santiago,"Patagonia,
habitación privada.",4.94,23360,,17,https://www.airbnb.cl/rooms/755620559941072677?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-05-03&check_out=2023-05-10&previous_page_section_name=1000&federated_search_id=d91d4ddc-b1ba-44a4-9575-8311654e4d73
